0,1,2
0.027,-80,0.0016095099371698039
0.028,-80,0.0016156379936720193
0.029,-80,0.0016207006817017978
0.03,-80,0.0016248812975102917
0.031,-80,0.0016283322211545692
0.032,-80,0.0016311799292093707
0.033,-80,0.0016335292615779222
0.034,-80,0.0016354670304487002
0.035,-80,0.0016370650575931532
0.036,-80,0.001638382720395789
0.037,-80,0.0016394690792765957
0.038,-80,0.0016403646507671392
0.039,-80,0.0016411028821902863
0.04,-80,0.0016417113760924427
0.041,-80,0.0016422129054980154
0.042,-80,0.0016426262547779538
0.043,-80,0.00164296691544797
0.044,-80,0.0016432476614929113
0.045,-80,0.0016434790247844004
0.046,-80,0.0016436696877427915
0.047,-80,0.0016438268075144808
0.048,-80,0.001643956283518049
0.049,-80,0.0016440629781905645
0.05,-80,0.0016441508990785191
0.051,-80,0.0016442233490140362
0.052,-80,0.001644283049950714
0.053,-80,0.0016443322450660413
0.054,-80,0.0016443727829357688
0.055,-80,0.001644406186922167
0.056,-80,0.001644433712369441
0.057,-80,0.0016444563937460226
0.058,-80,0.0016444750834988876
0.059,-80,0.001644490484075694
0.06,-80,0.0016445031743152728
0.061,-80,0.0016445136311962708
0.062,-80,0.0016445222477600456
0.063,-80,0.0016445293478804795
0.064,-80,0.0016445351984352603
0.065,-80,0.0016445400193356606
0.066,-80,0.0016445439917915387
0.067,-80,0.001644547265121998
0.068,-80,0.0016445499623676102
0.069,-80,0.001644552184915024
0.07,-80,0.0016445540163077656
0.071,-80,0.001644555525386402
0.072,-80,0.001644556768876113
0.073,-80,0.001644557793518867
0.074,-80,0.001644558637830377
0.075,-80,0.0016445593335478572
0.076,-80,0.001644559906822975
0.077,-80,0.001644560379204875
0.078,-80,0.0016445607684501832
0.079,-80,0.0016445610891904663
0.08,-80,0.0016445613534822239
0.081,-80,0.00164456157126008
0.082,-80,0.0016445617507102237
0.083,-80,0.0016445618985781196
0.084,-80,0.0016445620204220705
0.085,-80,0.0016445621208221485
0.086,-80,0.0016445622035523568
0.087,-80,0.001644562271722496
0.088,-80,0.00164456232789506
0.089,-80,0.0016445623741815573
0.09,-80,0.001644562412321881
0.091,-80,0.0016445624437497134
0.092,-80,0.0016445624696464177
0.093,-80,0.0016445624909854405
0.094,-80,0.0016445625085689116
0.095,-80,0.0016445625230577863
0.096,-80,0.0016445625349966971
0.097,-80,0.0016445625448344243
0.098,-80,0.001644562552940765
0.099,-80,0.0016445625596204325
0.0,-70,0.0
0.001,-70,2.1016577835638706e-05
0.002,-70,0.0002252319378319328
0.003,-70,0.0007751075768116561
0.004,-70,0.0016897877727812618
0.005,-70,0.0028869466809808334
0.006,-70,0.004248742177261827
0.007,-70,0.005664102357542837
0.008,-70,0.0070470433127435535
0.009,-70,0.008340090723885987
0.01,-70,0.009510600125098159
0.011,-70,0.010544757491752177
0.012,-70,0.011441666357841756
0.013,-70,0.012208480131117826
0.014,-70,0.012856784522530426
0.015,-70,0.013400102311525755
0.016,-70,0.013852284347139684
0.017,-70,0.014226547719403614
0.018,-70,0.0145349599617242
0.019,-70,0.014788215429022498
0.02,-70,0.014995593154506548
0.021,-70,0.015165020121919844
0.022,-70,0.015303189731342797
0.023,-70,0.015415703598193997
0.024,-70,0.01550721739467437
0.025,-70,0.015581579775902746
0.026,-70,0.015641958787280048
0.027,-70,0.01569095347267522
0.028,-70,0.015730690376827745
0.029,-70,0.015762905735127102
0.03,-70,0.015789014692507635
0.031,-70,0.015810169105210107
0.032,-70,0.01582730549438329
0.033,-70,0.015841184628041946
0.034,-70,0.015852424063183292
0.035,-70,0.01586152481629936
0.036,-70,0.01586889316736943
0.037,-70,0.015874858450024853
0.038,-70,0.01587968754381607
0.039,-70,0.015883596664977608
0.04,-70,0.01588676094952035
0.041,-70,0.015889322235640813
0.042,-70,0.015891395379639316
0.043,-70,0.015893073378968607
0.044,-70,0.015894431525929197
0.045,-70,0.015895530774263898
0.046,-70,0.015896420467041896
0.047,-70,0.015897140546510702
0.048,-70,0.0158977233439657
0.049,-70,0.015898195029241814
0.05,-70,0.01589857678441693
0.051,-70,0.015898885754108562
0.052,-70,0.015899135814828165
0.053,-70,0.01589933819780604
0.054,-70,0.01589950199316928
0.055,-70,0.01589963455805746
0.056,-70,0.01589974184696853
0.057,-70,0.01589982867914692
0.058,-70,0.015899898955008145
0.059,-70,0.015899955831309882
0.06,-70,0.01590000186293148
0.061,-70,0.01590003911762528
0.062,-70,0.015900069268891776
0.063,-70,0.015900093671148342
0.064,-70,0.015900113420566794
0.065,-70,0.015900129404312027
0.066,-70,0.01590014234039271
0.067,-70,0.015900152809914032
0.068,-70,0.01590016128318102
0.069,-70,0.01590016814082474
0.07,-70,0.01590017369090057
0.071,-70,0.015900178182726214
0.072,-70,0.015900181818081352
0.073,-70,0.01590018476027181
0.074,-70,0.01590018714146541
0.075,-70,0.015900189068629177
0.076,-70,0.0159001906283344
0.077,-70,0.015900191890645583
0.078,-70,0.01590019291226779
0.079,-70,0.015900193739093946
0.08,-70,0.015900194408266462
0.081,-70,0.01590019494984567
0.082,-70,0.0159001953881602
0.083,-70,0.015900195742899855
0.084,-70,0.01590019603000014
0.085,-70,0.015900196262358068
0.086,-70,0.015900196450411547
0.087,-70,0.01590019660260825
0.088,-70,0.015900196725785097
0.089,-70,0.015900196825475416
0.09,-70,0.015900196906157456
0.091,-70,0.01590019697145558
0.092,-70,0.015900197024303103
0.093,-70,0.015900197067074014
0.094,-70,0.01590019710168965
0.095,-70,0.015900197129705015
0.096,-70,0.015900197152378594
0.097,-70,0.015900197170728932
0.098,-70,0.01590019718558035
0.099,-70,0.015900197197599993
0.0,-60,0.0
0.001,-60,0.0001981090496659846
0.002,-60,0.001966857348642185
0.003,-60,0.006311883674105728
0.004,-60,0.012913987704739522
0.005,-60,0.02083398336208345
0.006,-60,0.029123777823579028
0.007,-60,0.03708313885569333
0.008,-60,0.04429520395442732
0.009,-60,0.05057129732129655
0.01,-60,0.05587688417289457
0.011,-60,0.06026799997974289
0.012,-60,0.06384559322713865
0.013,-60,0.06672624671195063
0.014,-60,0.06902517744244994
0.015,-60,0.0708474908459967
0.016,-60,0.07228455896617263
0.017,-60,0.07341334924788707
0.018,-60,0.07429730219323491
0.019,-60,0.07498790597554333
0.02,-60,0.07552648000426646
0.021,-60,0.07594590779502253
0.022,-60,0.07627219634594205
0.023,-60,0.07652581738227786
0.024,-60,0.07672282784526298
0.025,-60,0.07687578755818084
0.026,-60,0.07699450032013394
0.027,-60,0.07708660636035666
0.028,-60,0.07715805243892222
0.029,-60,0.07721346278878102
0.03,-60,0.07725643058896477
0.031,-60,0.07728974626649607
0.032,-60,0.07731557588517882
0.033,-60,0.07733560027535887
0.034,-60,0.07735112339027966
0.035,-60,0.07736315660331315
0.036,-60,0.07737248423279378
0.037,-60,0.07737971444180143
0.038,-60,0.0773853187573171
0.039,-60,0.07738966274141706
0.04,-60,0.07739302978832661
0.041,-60,0.07739563958370084
0.042,-60,0.07739766242083704
0.043,-60,0.07739923030215876
0.044,-60,0.07740044554691347
0.045,-60,0.07740138746471946
0.046,-60,0.07740211752923062
0.047,-60,0.0774026833888161
0.048,-60,0.07740312197556207
0.049,-60,0.0774034619152364
0.05,-60,0.07740372539534654
0.051,-60,0.0774039296131182
0.052,-60,0.07740408789784416
0.053,-60,0.07740421058082295
0.054,-60,0.07740430566964852
0.055,-60,0.07740437937084715
0.056,-60,0.0774044364949693
0.057,-60,0.07740448077057036
0.058,-60,0.07740451508757257
0.059,-60,0.07740454168589121
0.06,-60,0.07740456230163444
0.061,-60,0.07740457828042066
0.062,-60,0.0774045906652081
0.063,-60,0.07740460026437003
0.064,-60,0.07740460770445796
0.065,-60,0.07740461347109746
0.066,-60,0.07740461794068598
0.067,-60,0.07740462140496031
0.068,-60,0.07740462409003881
0.069,-60,0.07740462617118084
0.07,-60,0.07740462778422569
0.071,-60,0.07740462903445924
0.072,-60,0.07740463000348627
0.073,-60,0.07740463075455657
0.074,-60,0.07740463133669372
0.075,-60,0.07740463178789467
0.076,-60,0.07740463213761004
0.077,-60,0.07740463240866634
0.078,-60,0.07740463261875571
0.079,-60,0.07740463278159117
0.08,-60,0.07740463290780107
0.081,-60,0.07740463300562346
0.082,-60,0.07740463308144334
0.083,-60,0.07740463314020957
0.084,-60,0.07740463318575794
